"Märke","Modell","Kaross","Beskrivning","Drivmedel","Drivlina","Sittplatser","Styrkor","Svagheter","Passar för","Bättre alternativ"
"Skoda","Enyaq","SUV","En av marknadens mest praktiska elbilar. 85x är förstaval för bra räckvidd. Enormt bagage och bra komfort.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Enormt bagage; Bra komfort; Praktisk","Inte sportig; Begränsad effektivitet","Familjer med EV-behov","for_teknik: Tesla Model Y"
"Skoda","Scala","Halvkombi","Praktisk halvkombi till bra pris. TSI automat är förstaval. Mycket utrymme för klassen men inte särskilt inspirerande design.","Bensin","Tvåhjulsdrift","5","Mycket utrymme; Prisvärd; Praktisk","Anonym design","Praktiska familjer med budget","for_premium: Volkswagen Golf"
"Skoda","Kamiq","SUV","Praktisk liten crossover. TSI automat är förstaval. Enkel att leva med men inte särskilt inspirerande design.","Bensin","Tvåhjulsdrift","5","Enkel att leva med; Praktisk; Bra storlek","Anonym design","Småfamiljen","for_korgladje: Ford Puma"
"Skoda","Yeti","SUV","Charmig och praktisk kompakt-SUV. AWD diesel är vanligt begagnatval. Mycket bra sikt och funktion men gammal teknik idag. Endast begagnat.","Bensin; Diesel","Tvåhjulsdrift; Fyrhjulsdrift","5","Bra sikt; Praktisk; Charmig","Gammal teknik; Endast begagnat","Den som vill ha praktisk begagnad SUV","for_modernitet: Skoda Karoq"
"Skoda","Roomster","Halvkombi","Praktisk småfamiljebil. Dieselversionerna är smartaste begagnatvalen. Smarta inre utrymmen men gammal teknik och säkerhet idag. Endast begagnat.","Bensin; Diesel","Tvåhjulsdrift","5","Smart inrederd; Praktisk; Billig begagnad","Gammal säkerhet; Endast begagnat","Småfamiljen med budget","for_modernitet: Skoda Kamiq"
"Smart","#1","SUV","Liten men snabb premium-elbil. Brabus-versionen är roligast. Smidig i stad men begränsat bagage och bakutrymme.","El","Tvåhjulsdrift","5","Smidig i stad; Premium-känsla; Snabb","Begränsat bagage; Begränsat baksäte","Stadsboende med EV-behov",""
"Smart","#3","SUV","Coupe-lik elSUV med futuristisk stil. AWD-versionen är förstaval. Snabb och modern känsla men begränsat bagage för storleken.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Snabb; Modern design; Premium-känsla","Begränsat bagage; Polariserande design","Designorienterad EV-köpare","for_komfort: Volvo EX30"
"Smart","Fortwo","Halvkombi","Stadsbil för trånga parkeringar. Elversionen är förstaval idag. Extremt lätt att parkera men nästan oanvändbar för längre resor. Modellen utgår.","El","Tvåhjulsdrift","2","Lätt att parkera; Smidig; Bra stadsbil","Oanvändbar för långresor; Endast två säten; Modellen utgår","Stadsboende; Andra-bil","for_allround: Fiat 500e"
"Smart","Roadster","Cabriolet","Lätt och annorlunda liten sportbil. Coupéversionen är populär begagnat. Rolig i låg fart och kurvor men svag motor. Modellen utgick för länge sedan.","Bensin","Tvåhjulsdrift","2","Lätt och balanserad; Rolig i kurvor; Annorlunda","Svag motor; Enkel kvalitet; Endast begagnat","Entusiasten med fokus på enkelhet","for_premium: Mazda MX-5"
"Suzuki","Swift","Halvkombi","Lätt och billig småbil. Hybridversionen är förstaval. Roligare att köra än många småbilar men mindre säkerhets- och premiumkänsla.","Bensin; Mildhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Lätt och rolig; Billig; AWD finns","Mindre säkerhetspaket; Enkel","Stadsboende med körglädje-krav","for_kvalitet: Toyota Yaris"
"Suzuki","Ignis","SUV","Liten charmig citybil med AWD-möjlighet. Hybrid AWD är förstaval. Enkel säkerhet och komfort.","Bensin; Mildhybrid","Tvåhjulsdrift; Fyrhjulsdrift","4","Charmig design; AWD i kompakt format; Lätt","Enkel säkerhet och komfort","Den som vill ha kompakt AWD-bil","for_modernitet: Toyota Aygo X"
"Suzuki","Vitara","SUV","Enkel och billig AWD-SUV. Hybrid AWD är förstaval. Låg ägandekostnad och lätt att köra men känns enkel invändigt.","Bensin; Mildhybrid; Hybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Låg ägandekostnad; Lätt att köra; AWD","Enkel invändigt","Den som vill ha enkel AWD-SUV","for_premium: Mazda CX-30"
"Suzuki","S-Cross","SUV","Billig AWD-familjebil. Hybrid AWD är förstaval. Mycket låg driftkostnad.","Bensin; Mildhybrid; Hybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Låg driftkostnad; AWD; Bra prislapp","Enkel kvalitetskänsla","Familjen med budget","for_premium: Mazda CX-5"
"Suzuki","Across","SUV","Toyota RAV4 PHEV med Suzuki-märke. Plug-in hybriden är hela poängen. Driftsäker och effektiv.","Laddhybrid","Fyrhjulsdrift","5","Driftsäker; Effektiv hybrid; Lång räckvidd som EV","Anonym design; Begränsat servicenät","Den som vill ha laddhybrid-SUV via Suzuki",""
"Suzuki","Celerio","Halvkombi","Billigast möjliga småbil. Manuell låda är förstaval. Mycket låg förbrukning men enkel säkerhet och komfort.","Bensin","Tvåhjulsdrift","5","Låg förbrukning; Mycket billig; Lätt att äga","Enkel säkerhet; Enkel kvalitet","Stadsboende med absolut minimibudget","for_kvalitet: Toyota Aygo X"
"Tesla","Model 3","Sedan","Marknadens populäraste premium-EV. Long Range AWD är vanligaste valet. Bäst i klassen på effektivitet och laddnätverk (Superchargers).","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Bästa laddnätverk (Supercharger); Hög effektivitet; Bra mjukvara","Hård fjädring; Minimalistisk interiör delar åsikter; Inga fysiska reglage","Långpendlaren med EV-behov; Tjänstebilsföraren","for_premium: BMW i4"
"Tesla","Model Y","SUV","Världens populäraste familje-EV. Long Range AWD är vanligaste valet. Mycket utrymme, bra effektivitet och oslagbart laddnätverk.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket utrymme; Bra räckvidd; Bästa laddnätverk; Hög effektivitet","Hård fjädring; Sparsamt utrustad interiör; Inga fysiska reglage","Familjer med EV-behov; Den som vill ha praktisk premium-EV","for_komfort: Volvo EX40"
"Tesla","Model Y Performance","SUV","Sportigare version av Model Y. Stark prestanda och hård fjädring för bättre kurvtagning. Lägre räckvidd än Long Range.","El","Fyrhjulsdrift","5","Brutal acceleration; Sportig; Bästa laddnätverket","Hård fjädring; Kortare räckvidd än Long Range","Entusiasten som vill ha snabb familje-EV","for_komfort: BMW iX3"
"Tesla","Model S","Sedan","Stor lyx-EV med extrem prestanda. Plaid-versionen är extrem. Bra långfärdsbil men interiören känns enklare än tysk premium.","El","Fyrhjulsdrift","5","Brutal prestanda (Plaid); Bra räckvidd; Bästa laddnätverket","Interiören känns enklare än tysk premium; Endast yoke-ratt i vissa marknader","Den som vill ha snabb el-lyxsedan","for_premium: Mercedes EQS"
"Tesla","Model X","SUV","Stor lyx-elSUV med Falcon Wing-dörrar. Plaid är extrem prestandaversion. Plats för sex eller sju och starka köregenskaper.","El","Fyrhjulsdrift","7","Falcon Wing-dörrar; Sju säten möjligt; Bästa laddnätverket","Komplexa dörrar kan orsaka problem; Enklare interiör än Mercedes EQS","Familjer som vill ha stor el-lyxSUV","for_premium: Mercedes EQS SUV"
"Tesla","Cybertruck","Pickup","Extremt utstickande elektrisk pickup. Brutalt utseende och bra prestanda men opraktisk för Europa och svår tillgänglighet.","El","Fyrhjulsdrift","5","Unik design; Stark prestanda; Bästa laddnätverket","Opraktisk för Europa; Svår tillgänglighet; Polariserande design","Den som vill ha unik el-pickup","for_komfort: Ford F-150 Lightning"
"Tesla","Roadster","Coupé","Kommande extrem el-supersport. Otroliga prestandasiffror utlovas. Faktisk produktion har dragit ut på tiden.","El","Fyrhjulsdrift","4","Otrolig utlovad prestanda; Bästa laddnätverket; Unik EV-supersport","Försenad produktion; Mycket dyr","Entusiasten som vill ha extrem el-supersport",""
"Tesla","Semi","Lastbil","Tesla:s elektriska lastbil. Inte personbilssegmentet men ett unikt projekt med fokus på låg driftkostnad för åkerier.","El","Fyrhjulsdrift","2","Låg driftkostnad; Stark prestanda; Unik el-lastbil","Inte tillgänglig i Europa ännu; Begränsad användning","Åkerier; Företag med tunga transporter",""
"Toyota","Aygo X","Halvkombi","Liten charmig stadsbil med crossover-touch. Manuell bensin är förstaval. Mycket låg driftkostnad och japansk pålitlighet.","Bensin","Tvåhjulsdrift","5","Mycket låg driftkostnad; Pålitlig; Smidig i stad","Bullrig på motorväg; Begränsat utrymme","Stadsboende; Förstabilskunden",""
"Toyota","Yaris","Halvkombi","Pålitlig hybrid-småbil. Hybridversionen är förstaval. Extremt låg förbrukning och japansk byggkvalitet.","Hybrid","Tvåhjulsdrift","5","Extremt låg förbrukning; Pålitlig; Bra hybrid","Anonym design; Inte inspirerande att köra","Pendlaren med fokus på ekonomi; Förstabilskunden",""
"Toyota","Yaris Cross","SUV","Liten hybrid-crossover. Hybridversionen är förstaval. Smidig och driftsäker, ett av de smartaste valen i klassen.","Hybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Driftsäker; Låg förbrukning; Smidig","Inte inspirerande; Trångt baksäte","Småfamiljen; Pendlaren",""
"Toyota","Corolla","Halvkombi/Sedan","Världens mest sålda bil och en symbol för driftsäkerhet. Hybridversionen är förstaval. Lätt att äga och billig i drift.","Hybrid","Tvåhjulsdrift","5","Extremt driftsäker; Låg förbrukning; Bra hybrid","Inte inspirerande att köra; Anonym","Den som vill ha pålitlig vardagsbil","for_korgladje: Ford Focus"
"Toyota","Corolla Touring Sports","Kombi","Praktisk hybrid-kombi. 2.0 Hybrid är förstaval. Driftsäker familjebil med låg förbrukning och stort bagage.","Hybrid","Tvåhjulsdrift","5","Pålitlig; Låg förbrukning; Praktiskt bagage","Inte inspirerande att köra; Anonym","Familjer som vill ha pålitlig kombi","for_premium: Skoda Octavia Combi"
"Toyota","Corolla Cross","SUV","Familje-SUV på samma plattform som Corolla. Hybridversionen är förstaval. Bra balans mellan utrymme och förbrukning.","Hybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Driftsäker; Bra hybrid; Praktisk","Anonym design; Inte sportig","Familjer som vill ha pålitlig SUV",""
"Toyota","C-HR","SUV","Snyggare crossover från Toyota. Hybrid eller laddhybrid är vanligaste valen. Polariserande design men karaktärsfull.","Hybrid; Laddhybrid","Tvåhjulsdrift","5","Karaktärsfull design; Driftsäker; Bra hybrid","Begränsat baksäte och bagage; Polariserande design","Den som vill ha snygg hybrid-crossover","for_utrymme: Toyota Corolla Cross"
"Toyota","RAV4","SUV","Klassisk familje-SUV. Laddhybrid AWD är populärt val i Sverige. Stark och pålitlig med bra dragförmåga.","Hybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Pålitlig; Bra laddhybrid; Stark AWD","Inte sportig; Polariserande design","Familjer som vill ha pålitlig SUV","for_komfort: Volvo XC60"
"Toyota","Highlander","SUV","Stor sjusits hybrid-SUV. Endast en hybrid AWD-version. Mycket utrymme för storfamiljen.","Hybrid","Fyrhjulsdrift","7","Sju säten; Bra hybrid; Pålitlig","Stor i stad; Inte sportig","Storfamiljen som vill ha pålitlig sjusits",""
"Toyota","Prius","Halvkombi","Hybrid-pionjär med ny design. Laddhybriden är vanligaste valet. Extremt låg förbrukning och ikonisk bland hybridfans.","Hybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Extremt låg förbrukning; Pålitlig; Bra laddhybrid","Begränsat baksäte mot rivaler","Den som vill ha klassisk hybrid",""
"Toyota","bZ4X","SUV","Toyotas första moderna elbil. AWD-versionen är förstaval. Inte klassledande räckvidd eller laddhastighet.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Driftsäker; Bra komfort; Bra AWD","Inte klassledande räckvidd; Långsam laddning","Familjer som vill ha pålitlig el-SUV","for_rackvidd: Hyundai IONIQ 5"
"Toyota","Supra","Coupé","Sportbil byggd på BMW Z4-plattform. Manuell version finns och är vanligt val för entusiaster.","Bensin","Tvåhjulsdrift","2","Manuell finns; Bakhjulsdrift; Bra balans","Mindre praktisk; Endast två säten","Entusiasten med fokus på körglädje","for_premium: BMW M2"
"Toyota","GR Yaris","Halvkombi","Liten brutal hot hatch byggd för rally. Manuell låda och AWD. Hård fjädring men extrem körkänsla.","Bensin","Fyrhjulsdrift","4","Brutal körkänsla; Manuell + AWD; Rallybil för väg","Hård fjädring; Begränsat baksäte; Bullrig","Entusiasten med fokus på rally-känsla","for_komfort: Audi S3"
"Toyota","Land Cruiser","Terrängbil","Legendarisk terrängbil med oslagbar pålitlighet. Dieselautomat är vanligt val. Oslagbar i terräng och hållfasthet men bullrig och otymplig på motorväg.","Diesel","Fyrhjulsdrift","7","Extremt pålitlig; Oslagbar i terräng; Bra dragbil","Bullrig på motorväg; Otymplig i stad; Hög förbrukning","Off-road-användning; Lantbruksanvändning","for_komfort: Land Rover Defender"
"Toyota","Urban Cruiser","SUV","Toyotas nya kompakt-elSUV. Pålitlighet i elformat. Mer fokus på trygg vardagsanvändning än premium.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Toyotas pålitlighet i EV-format; Smidig storlek","Inte klassledande räckvidd","Familjer som vill ha pålitlig kompakt-EV",""
"Toyota","ProAce City Verso","Familjevan","Praktisk liten familjebil eller arbetsbil. Diesel eller el är vanligaste valen. Mycket plats för pengarna.","Diesel; El","Tvåhjulsdrift","5","Mycket plats; Pålitlig; Praktisk","Inte premium; Mer transportbil","Aktiva familjer; Hantverkare",""
"Volkswagen","Polo","Halvkombi","Marknadens mest premiumkänsla i småklassen. TSI DSG är förstaval. Mycket bra interiör och köregenskaper men dyrare än konkurrenter.","Bensin","Tvåhjulsdrift","5","Premiumkänsla för småbil; Bra köregenskaper; Hög kvalitet","Dyrare än konkurrenter","Stadsboende som vill ha kvalitet",""
"Volkswagen","Golf","Halvkombi","Klassisk vardagsbil och kompaktklassens måttstock. eHybrid är populärt val. Bra balans mellan komfort, körning och kvalitet.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift","5","Bra balans i allt; Hög kvalitetskänsla; Bred motorflora","Inte särskilt utstickande; Tidiga GTi/R-buggar i infotainment","Pendlaren; Småfamiljen som vill ha trygg vardagsbil",""
"Volkswagen","Golf R","Halvkombi","Brutal AWD hot hatch. Bra balans mellan komfort och prestanda. Bra som året-runt-bil för entusiasten.","Bensin","Fyrhjulsdrift","5","AWD året runt; Bra balans; Praktisk för sportbil","Mindre lekfull än Civic Type R; Dyr","Entusiasten med vardagsbehov","for_lekfullhet: Honda Civic Type R"
"Volkswagen","ID.3","Halvkombi","VW:s första moderna elbil. Pro S är förstaval för räckvidd. Modern men mjukvaran har varit problematisk historiskt.","El","Tvåhjulsdrift","5","Modern design; Bra räckvidd; Tysk premiumkänsla","Mjukvarubuggar historiskt; Inte lika rolig som Cupra Born","Pendlaren med EV-behov","for_korgladje: Cupra Born"
"Volkswagen","ID.4","SUV","Populär familje-elSUV. GTX är AWD-versionen. Praktisk och bekväm med trygg känsla.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Praktisk; Tysk premiumkänsla; Bra utrymme","Mjukvaran inte bäst; Inte lika effektiv som Tesla","Familjer som vill ha europeisk el-SUV","for_effektivitet: Tesla Model Y"
"Volkswagen","ID.7","Sedan/Kombi","Stor och bekväm el-sedan eller kombi (Tourer). GTX är AWD-versionen. Bra långfärdsbil med modern interiör.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Bra långfärdsbil; Modern interiör; Rymlig","Mjukvaran inte bäst; Inte sportig","Långpendlare med EV-behov; Tjänstebilsföraren",""
"Volkswagen","ID. Buzz","Familjevan","Modern retro-elbuss. Sjusits-versionen är populär. Charmig och praktisk men dyr för storleken.","El","Tvåhjulsdrift; Fyrhjulsdrift","7","Retro-charm; Praktisk; Stort utrymme","Dyr för storleken; Inte effektiv på motorväg","Storfamiljen som vill ha karaktär","for_premium: Mercedes EQV"
"Volkswagen","Tiguan","SUV","VW:s flaggskepp inom familje-SUV. eHybrid är populärt val. Bra balans mellan komfort och praktisk användning.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Bra balans i allt; Hög kvalitetskänsla; Bra utrustning","Inte sportig; Dyrare än Skoda Kodiaq","Familjen som vill ha trygg SUV","for_utrymme: Skoda Kodiaq"
"Volkswagen","T-Roc","SUV","Snyggare och sportigare än vanlig VW. TSI DSG är förstaval. Bra balans men trångt baksäte.","Bensin; Mildhybrid","Tvåhjulsdrift","5","Snyggare än vanlig VW; Bra köregenskaper","Trångt baksäte; Hård fjädring i R-versionen","Singel eller par som vill ha karaktär",""
"Volkswagen","T-Cross","SUV","Liten praktisk crossover. TSI DSG är förstaval. Smidig och praktisk i stad men inte särskilt inspirerande.","Bensin","Tvåhjulsdrift","5","Smidig; Praktisk; Bra storlek för stad","Anonym design; Enklare interiör","Stadsboende; Småfamiljen",""
"Volkswagen","Taigo","SUV","Coupé-version av T-Cross. TSI DSG är förstaval. Snyggare men mindre praktisk än T-Cross.","Bensin","Tvåhjulsdrift","5","Snyggare design; Smidig i stad","Mindre praktisk än T-Cross","Designorienterade stadsboende","for_familj: Volkswagen T-Cross"
"Volkswagen","Passat Variant","Kombi","Klassisk familjekombi och tjänstebilsfavorit. eHybrid är populärt val. Mycket bra långfärdsbil med stort bagage.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Bra långfärdsbil; Stort bagage; Hög kvalitetskänsla","Inte sportig; Dyrare än Skoda Superb","Långpendlaren; Tjänstebilsföraren","for_varde: Skoda Superb Combi"
"Volkswagen","Arteon","Sedan/Kombi","Snyggare och låg version av Passat. Shooting Brake-kombin är populär. Elegant design men modellen utgår.","Bensin; Diesel; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Elegant design; Bra som tjänstebil","Modellen utgår; Lägre takhöjd bak","Designorienterade tjänstebilsförare",""
"Volkswagen","Touareg","SUV","Stor premium-SUV och VW:s flaggskepp. eHybrid är populärt val. Mycket utrustning för pengarna jämfört med Audi Q7.","Bensin; Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Mycket utrustning för pengarna; Bra komfort; Stark dragbil","Stor i stad; Inga sju säten","Familjer som vill ha stor SUV","for_premium: Audi Q7"
"Volkswagen","Touareg R","SUV","Sportig laddhybrid-version av Touareg. Stark prestanda och premium-känsla men inte lika premium som motsvarande Audi/Porsche.","Laddhybrid","Fyrhjulsdrift","5","Stark prestanda; Bra utrustning; PHEV-räckvidd","Stor i stad; Inga sju säten","Den som vill ha snabb stor SUV","for_premium: Porsche Cayenne E-Hybrid"
"Volkswagen","Caddy","Familjevan","Praktisk familje- eller arbetsbil. Diesel DSG är vanligt val. Mycket plats för pengarna.","Bensin; Diesel","Tvåhjulsdrift","5","Mycket plats; Praktisk; Bra för aktiva familjer","Inte premium; Mer transportbil än personbil","Aktiva familjer; Hantverkare",""
"Volkswagen","Amarok","Pickup","Premium-pickup byggd på samma plattform som Ford Ranger. Diesel är vanligt val. Stark dragbil och robust.","Diesel","Fyrhjulsdrift","5","Stark dragbil; Robust; Tysk premiumkänsla","Stor i stad; Hög förbrukning","Hantverkare; Den som drar släp",""
"Volvo","EX30","SUV","Skandinavisk premium-elbil för stad. Twin Motor Performance är populär. Mycket säkerhet och kvalitet i kompakt format men trångt baksäte.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Hög säkerhet; Premium-känsla; Smidig storlek","Trångt baksäte; All kontroll via skärm","Stadsboende som vill ha premium-EV","for_traditionell_layout: Volvo XC40"
"Volvo","EX40","SUV","Elektrisk version av XC40. Long Range är förstaval. Bekväm familje-EV med Volvos säkerhetskänsla.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Hög säkerhet; Bekväm; Premium-känsla","Inte lika effektiv som Tesla; Begränsat bagage","Familjer som vill ha premium-EV med säkerhetsfokus","for_effektivitet: Tesla Model Y"
"Volvo","EC40","SUV","Coupé-version av EX40 (tidigare C40 Recharge). Snyggare design men mindre praktisk. Bygger på samma plattform som EX40.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Snyggare design; Hög säkerhet; Premium-känsla","Mindre bagage än EX40; Lägre takhöjd bak","Designorienterad köpare","for_utrymme: Volvo EX40"
"Volvo","EX60","SUV","Kommande elektrisk version av XC60. Förväntat blir det Volvos viktigaste el-SUV. Modern interiör och hög säkerhet.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Hög säkerhet; Modern interiör; Bra storlek för familj","Inte tillgänglig ännu; Förväntat dyr","Familjer som vill ha premium el-SUV",""
"Volvo","EX90","SUV","Volvos stora sjusits el-SUV. Twin Motor är förstaval. Hög säkerhet och lyxig kupé men mjukvaran har haft problem.","El","Fyrhjulsdrift","7","Sju säten; Hög säkerhet; Premiuminteriör","Mjukvarubuggar tidigt; Dyr; Tung","Storfamiljen med EV-behov","for_mjukvara: Tesla Model X"
"Volvo","XC40","SUV","Klassisk kompakt premium-SUV. T4 eller laddhybrid är populära val. Bra utrustning som standard och bra säkerhet.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Hög säkerhet; Bra utrustning; Praktisk","Mindre rolig än BMW X1; Hård fjädring i sportsversion","Småfamiljen; Den som vill ha trygg SUV",""
"Volvo","XC60","SUV","Sveriges mest populära mellanstora SUV. T6 eller T8 Recharge är populära val. Bra balans mellan komfort, säkerhet och utrustning.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Hög säkerhet; Bekväm; Bra svenska väder-egenskaper","Mindre rolig än BMW X3; Hög inköpskostnad","Familjependlaren; Tjänstebilsföraren","for_korkansla: BMW X3"
"Volvo","XC70","Kombi","Klassisk crossover-kombi med extra markhöjd. AWD diesel är populärt begagnatval. Tidlös design och bra svenska väder-egenskaper. Endast begagnat.","Bensin; Diesel","Tvåhjulsdrift; Fyrhjulsdrift","5","Tidlös design; Bra på svenska vägar; AWD","Endast begagnat; Hög förbrukning för storleken","Den som vill ha klassisk Volvo-kombi","for_modernitet: Volvo V60 Cross Country"
"Volvo","XC90","SUV","Klassisk stor sjusits-SUV. T8 Recharge är populärt val. Hög säkerhet och premium-känsla men börjar bli äldre.","Bensin; Mildhybrid; Laddhybrid","Fyrhjulsdrift","7","Sju säten; Hög säkerhet; Bekväm långfärdsbil","Börjar bli äldre i tekniken; Stor i stad","Storfamiljen; Långpendlare",""
"Volvo","S60","Sedan","Premium-sedan med svensk karaktär. T8 Recharge är populärt val. Bra balans mellan körning och komfort men sedaner har lägre andrahandsvärde i Sverige.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Hög säkerhet; Karaktärsfull design; Bra komfort","Lägre andrahandsvärde i Sverige; Mindre praktisk än V60","Den som föredrar sedan över kombi","for_korgladje: BMW 3-serie"
"Volvo","S90","Sedan","Stor premium-sedan. T8 Recharge är populärt val. Mycket bekväm långfärdsbil men sedaner har lägre andrahandsvärde i Sverige. Modellen utgår.","Bensin; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Mycket bekväm; Hög säkerhet; Karaktärsfull","Modellen utgår; Lägre andrahandsvärde i Sverige","Långpendlare som föredrar sedan","for_andrahandsvarde: Mercedes E-klass"
"Volvo","V40 Cross Country","Halvkombi","Crossover-halvkombi med extra markhöjd. T3 är populärt begagnatval. Bra storlek och svenska väder-egenskaper. Endast begagnat.","Bensin; Diesel","Tvåhjulsdrift","5","Bra svenska väder-egenskaper; Karaktärsfull; Smidig storlek","Endast begagnat; Börjar bli äldre","Den som vill ha lite begagnad Volvo",""
"Volvo","V60","Kombi","Klassisk svensk premiumkombi. T8 Recharge är populärt val. Bra balans och stort bagage. Cross Country-versionen har extra markhöjd och AWD.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Hög säkerhet; Bra balans; Stort bagage","Mindre rolig än BMW 3-serie Touring","Familjen som vill ha klassisk Volvo-kombi","for_korgladje: BMW 3-serie Touring"
"Volvo","V70","Kombi","Klassisk Volvo-kombi med tidlös design. Diesel automat är populärt begagnatval. Pålitlig och praktisk men endast begagnat.","Bensin; Diesel","Tvåhjulsdrift; Fyrhjulsdrift","5","Tidlös design; Praktisk; Pålitlig","Endast begagnat; Gammal teknik","Den som vill ha klassisk Volvo-kombi",""
"Volvo","V90","Kombi","Stor premiumkombi med Volvos säkerhet. T8 Recharge är populärt val. Mycket bekväm långfärdsbil men modellen utgår.","Bensin; Mildhybrid; Laddhybrid","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket bekväm; Stort bagage; Hög säkerhet","Modellen utgår; Stor i stad","Långpendlaren med kombi-fokus","for_korgladje: BMW 5-serie Touring"
"Volvo","V90 Cross Country","Kombi","Stor crossover-kombi med extra markhöjd och AWD. Diesel B5 eller T8 Recharge är populära val. Klassisk svensk Volvo för långresa.","Bensin; Diesel; Mildhybrid; Laddhybrid","Fyrhjulsdrift","5","Bra svenska väder-egenskaper; Stort bagage; Hög säkerhet","Modellen utgår; Hög förbrukning för en kombi","Långpendlaren med kuperad terräng-behov",""
"Xpeng","X9","Familjevan","Stor kinesisk el-MPV med plats för sju. Mycket utrustning för pengarna men begränsat servicenät i Europa.","El","Fyrhjulsdrift","7","Sju säten; Mycket utrustning; Modern teknik","Begränsat servicenät; Okänt andrahandsvärde","Storfamiljen med EV-behov","for_premium: Mercedes EQV"
"Xpeng","G9","SUV","Stor kinesisk premium-elSUV. Långt utrustad och bra räckvidd men begränsat servicenät i Sverige.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Mycket utrustning; Bra räckvidd; Snabb laddning","Begränsat servicenät; Okänt andrahandsvärde","Den som vill ha mycket EV för pengarna","for_andrahandsvarde: BMW iX"
"Xpeng","P7","Sedan","Kinesisk el-sedan i Tesla Model 3-klassen. Lång räckvidd och bra prestanda men begränsat servicenät i Europa.","El","Tvåhjulsdrift; Fyrhjulsdrift","5","Lång räckvidd; Mycket utrustning; Modern teknik","Begränsat servicenät; Okänt andrahandsvärde","Den som vill ha billig el-sedan med utrustning","for_laddnatverk: Tesla Model 3"
